Date,Open,High,Low,Close,Volume,Adj Close
"Sep 21, 2026",18.15,18.23,18.01,18.15,"27,146,700",18.15
"Sep 18, 2026",18.09,18.11,17.90,17.99,"53,315,800",17.99
"Sep 17, 2026",18.19,18.26,17.85,18.15,"40,269,400",18.15
"Sep 16, 2026",18.21,18.25,17.97,18.21,"34,375,100",18.21
"Sep 15, 2026",18.45,18.46,18.14,18.20,"24,044,300",18.20
"Sep 14, 2026",18.20,18.44,18.12,18.33,"21,528,800",18.33
"Sep 11, 2026",18.50,18.59,18.37,18.59,"34,171,600",18.59
"Sep 10, 2026",17.75,18.55,17.66,18.48,"51,431,900",18.48
"Sep 9, 2026",18.00,18.15,17.74,17.79,"30,056,500",17.79
"Sep 8, 2026",18.10,18.49,18.08,18.22,"43,084,300",18.22
"Sep 4, 2026",17.74,17.98,17.63,17.90,"44,532,700",17.90
"Sep 3, 2026",17.96,18.12,17.65,17.79,"75,715,700",17.79
"Sep 2, 2026",17.62,17.81,17.48,17.75,"90,113,300",17.75
"Sep 1, 2026",17.34,17.54,17.06,17.40,"45,884,200",17.38
"Aug 31, 2026",17.29,17.38,17.13,17.19,"40,273,400",17.17
"Aug 28, 2026",17.01,17.15,16.87,17.08,"30,888,800",17.06
"Aug 27, 2026",16.84,17.04,16.80,16.93,"23,903,200",16.91
"Aug 26, 2026",16.78,17.29,16.76,16.99,"34,729,800",16.97
"Aug 25, 2026",16.28,16.81,16.25,16.78,"46,776,100",16.76
"Aug 24, 2026",16.09,16.52,16.06,16.27,"26,780,200",16.25
"Aug 21, 2026",15.84,16.28,15.78,16.24,"41,406,100",16.22
"Aug 20, 2026",15.96,16.04,15.68,15.75,"36,972,400",15.73
"Aug 19, 2026",16.31,16.47,16.00,16.02,"38,268,000",16.00
"Aug 18, 2026",16.25,16.36,16.05,16.12,"26,514,900",16.10
"Aug 17, 2026",16.49,16.54,16.18,16.22,"40,198,100",16.20
"Aug 14, 2026",16.56,16.66,16.35,16.54,"41,889,000",16.52
"Aug 13, 2026",16.73,17.03,16.56,16.66,"41,325,600",16.64
"Aug 12, 2026",16.88,16.90,16.67,16.74,"44,453,700",16.72
"Aug 11, 2026",17.17,17.25,16.77,16.79,"51,847,000",16.77
"Aug 10, 2026",17.31,17.32,17.02,17.18,"31,144,700",17.16
"Aug 7, 2026",17.79,17.82,17.25,17.31,"26,547,600",17.29
"Aug 6, 2026",17.72,17.99,17.54,17.70,"58,573,100",17.68
"Aug 5, 2026",18.32,18.41,18.01,18.05,"37,330,400",18.03
"Aug 4, 2026",18.82,18.83,18.07,18.19,"31,739,183",18.17
"Aug 3, 2026",18.62,18.66,18.34,18.52,"18,993,223",18.48
"Jul 31, 2026",18.48,18.69,18.40,18.40,"25,236,379",18.36
"Jul 30, 2026",17.95,18.36,17.69,18.36,"48,017,329",18.32
"Jul 29, 2026",18.62,18.63,18.32,18.32,"22,522,604",18.28
"Jul 28, 2026",18.92,19.13,18.69,18.74,"20,158,531",18.70
"Jul 27, 2026",18.62,18.78,18.55,18.68,"15,130,368",18.64
"Jul 24, 2026",18.62,18.64,18.42,18.48,"13,967,900",18.44
"Jul 23, 2026",18.80,18.99,18.68,18.72,"19,179,800",18.68
"Jul 22, 2026",18.59,18.97,18.50,18.97,"36,477,500",18.93
"Jul 21, 2026",18.42,18.64,18.35,18.55,"19,403,200",18.51
"Jul 20, 2026",18.36,18.51,18.28,18.41,"12,804,800",18.37
"Jul 17, 2026",18.42,18.48,18.21,18.29,"55,082,500",18.25
"Jul 16, 2026",18.46,18.54,18.19,18.41,"19,600,800",18.37
"Jul 15, 2026",18.63,18.68,18.48,18.60,"22,326,000",18.56
"Jul 14, 2026",18.90,18.99,18.38,18.63,"53,143,500",18.59
"Jul 13, 2026",18.80,19.00,18.69,18.77,"24,114,300",18.73
"Jul 10, 2026",18.39,18.87,18.32,18.86,"48,063,400",18.82
"Jul 9, 2026",17.75,18.05,17.72,18.00,"20,018,900",17.96
"Jul 8, 2026",17.75,17.79,17.57,17.69,"34,277,500",17.65
"Jul 7, 2026",17.93,18.15,17.72,17.82,"22,292,100",17.78
"Jul 6, 2026",17.92,17.94,17.71,17.92,"35,102,000",17.88
"Jul 3, 2026",18.30,18.39,18.20,18.26,"11,813,000",17.88
"Jul 2, 2026",18.32,18.43,18.05,18.16,"25,735,800",17.78
"Jul 1, 2026",17.91,18.22,17.84,18.12,"56,556,800",17.72
"Jun 30, 2026",18.06,18.17,17.84,18.10,"25,467,200",17.70
"Jun 29, 2026",17.97,18.25,17.83,18.17,"18,900,500",17.77
"Jun 26, 2026",17.68,18.10,17.48,17.92,"54,809,800",17.52
"Jun 25, 2026",17.79,18.07,17.54,17.62,"51,834,700",17.23
"Jun 24, 2026",17.76,18.00,17.61,17.65,"76,122,900",17.26
"Jun 23, 2026",17.49,17.93,17.47,17.84,"21,980,600",17.45
"Jun 22, 2026",17.51,17.82,17.51,17.68,"21,753,800",17.29
