Date,Open,High,Low,Close,Volume,Adj Close
"Sep 18, 2026",3.6500,3.6900,3.6200,3.6700,"1,617,600",3.6700
"Sep 16, 2026",3.7100,3.7400,3.6600,3.7000,"2,347,400",3.7000
"Sep 15, 2026",3.7800,3.7800,3.6800,3.7100,"3,111,800",3.7100
"Sep 14, 2026",3.7200,3.7600,3.7000,3.7600,"2,239,900",3.7600
"Sep 11, 2026",3.7900,3.8000,3.7300,3.7400,"3,328,700",3.7400
"Sep 10, 2026",3.7100,3.7800,3.7000,3.7700,"3,076,200",3.7700
"Sep 9, 2026",3.7800,3.8300,3.6900,3.7300,"4,053,300",3.7300
"Sep 8, 2026",3.7200,3.8000,3.6800,3.7700,"3,878,500",3.7700
"Sep 4, 2026",3.7000,3.7500,3.6800,3.6800,"2,654,800",3.6800
"Sep 3, 2026",3.7800,3.7900,3.6300,3.6900,"4,210,100",3.6900
"Sep 2, 2026",3.5000,3.6900,3.5000,3.6800,"5,191,700",3.6800
"Sep 1, 2026",3.4900,3.5600,3.4900,3.4900,"2,721,100",3.4900
"Aug 31, 2026",3.4900,3.5400,3.4500,3.4800,"12,570,800",3.4800
"Aug 28, 2026",3.4800,3.4900,3.4400,3.4600,"2,565,400",3.4600
"Aug 27, 2026",3.5100,3.5200,3.4600,3.4900,"2,156,800",3.4900
"Aug 26, 2026",3.5000,3.5500,3.4800,3.4800,"1,976,700",3.4800
"Aug 25, 2026",3.5000,3.5200,3.4200,3.4900,"3,859,900",3.4900
"Aug 24, 2026",3.5400,3.5400,3.4500,3.5100,"2,180,800",3.5100
"Aug 21, 2026",3.5600,3.6000,3.5200,3.5900,"1,713,800",3.5250
"Aug 20, 2026",3.5100,3.5500,3.4900,3.5500,"2,963,000",3.4858
"Aug 19, 2026",3.5700,3.5700,3.5000,3.5200,"1,740,400",3.4563
"Aug 18, 2026",3.6200,3.6400,3.5000,3.5300,"3,530,900",3.4661
"Aug 17, 2026",3.5300,3.6200,3.4900,3.6200,"4,564,700",3.5545
"Aug 14, 2026",3.5000,3.5300,3.4700,3.5300,"3,241,100",3.4661
"Aug 13, 2026",3.4400,3.5100,3.4300,3.5000,"8,190,700",3.4367
"Aug 12, 2026",3.4600,3.4900,3.4100,3.4300,"3,997,600",3.3679
"Aug 11, 2026",3.4800,3.5100,3.4300,3.4300,"5,752,700",3.3679
"Aug 10, 2026",3.6000,3.6000,3.4200,3.4600,"5,001,500",3.3974
"Aug 7, 2026",3.5000,3.5800,3.4000,3.5600,"9,785,900",3.4956
"Aug 6, 2026",3.5900,3.6100,3.5000,3.5400,"2,892,900",3.4760
"Aug 5, 2026",3.6800,3.6900,3.5600,3.5900,"4,479,800",3.5250
"Aug 4, 2026",3.7500,3.7700,3.6600,3.6600,"1,805,500",3.5938
"Aug 3, 2026",3.7800,3.8000,3.7200,3.7200,"2,415,200",3.6527
"Jul 31, 2026",3.7600,3.7600,3.7100,3.7500,"2,028,300",3.6822
"Jul 30, 2026",3.6900,3.7500,3.6800,3.7200,"2,190,400",3.6527
"Jul 29, 2026",3.7100,3.7300,3.6600,3.6900,"1,543,400",3.6232
"Jul 28, 2026",3.7400,3.7900,3.7000,3.7200,"1,698,700",3.6527
"Jul 27, 2026",3.6700,3.7400,3.6700,3.7200,"2,107,900",3.6527
"Jul 24, 2026",3.6600,3.6700,3.6100,3.6600,"2,083,800",3.5938
"Jul 23, 2026",3.7800,3.8000,3.6600,3.6600,"3,043,900",3.5938
"Jul 22, 2026",3.7900,3.8300,3.7700,3.7900,"1,422,200",3.7214
"Jul 21, 2026",3.8100,3.8400,3.7400,3.7800,"1,343,100",3.7116
"Jul 20, 2026",3.8600,3.8800,3.8100,3.8100,"996,800",3.7411
"Jul 17, 2026",3.8500,3.9000,3.8400,3.8500,"1,702,800",3.7803
"Jul 16, 2026",3.8900,3.8900,3.8100,3.8500,"1,327,600",3.7803
"Jul 15, 2026",3.9000,3.9200,3.8600,3.8700,"1,382,800",3.8000
"Jul 14, 2026",3.8600,3.9100,3.8500,3.9000,"1,363,500",3.8294
"Jul 13, 2026",3.8900,3.9900,3.8500,3.8800,"2,319,100",3.8098
"Jul 10, 2026",3.8300,3.9200,3.8200,3.8900,"1,397,800",3.8196
"Jul 9, 2026",3.7000,3.8000,3.6800,3.8000,"1,637,900",3.7313
"Jul 8, 2026",3.7500,3.7500,3.6800,3.7000,"2,947,000",3.6331
"Jul 7, 2026",3.7800,3.7900,3.7300,3.7300,"1,872,100",3.6625
"Jul 6, 2026",3.7700,3.7800,3.7300,3.7500,"3,126,000",3.6822
"Jul 3, 2026",3.7800,3.8000,3.7400,3.7800,"3,024,700",3.7116
"Jul 2, 2026",3.7400,3.7800,3.7200,3.7500,"5,559,900",3.6822
"Jul 1, 2026",3.7700,3.7800,3.7200,3.7300,"2,829,200",3.6625
"Jun 30, 2026",3.8300,3.8300,3.7500,3.7800,"3,674,300",3.7116
"Jun 29, 2026",3.8700,3.8700,3.8100,3.8200,"2,200,200",3.7509
"Jun 26, 2026",3.8400,3.8800,3.8000,3.8600,"2,704,800",3.7902
"Jun 25, 2026",3.8900,3.9300,3.8100,3.8300,"2,691,700",3.7607
"Jun 24, 2026",3.8600,3.8900,3.8400,3.8900,"2,301,800",3.8196
"Jun 23, 2026",3.8900,3.8900,3.8400,3.8600,"2,500,600",3.7902
"Jun 22, 2026",3.9000,3.9300,3.8800,3.9200,"2,597,400",3.8491
"Jun 19, 2026",3.8700,3.9000,3.8500,3.9000,"1,644,100",3.8294
