Date,Open,High,Low,Close,Volume,Adj Close
"Sep 18, 2026",42.40,42.60,41.98,42.33,"29,168,400",42.33
"Sep 16, 2026",42.52,42.69,42.01,42.62,"24,595,900",42.62
"Sep 15, 2026",42.65,42.84,42.10,42.67,"16,895,900",42.67
"Sep 14, 2026",41.86,42.58,41.65,42.35,"21,585,700",42.35
"Sep 11, 2026",42.55,42.77,42.22,42.73,"17,572,900",42.73
"Sep 10, 2026",41.50,42.81,41.20,42.35,"35,626,000",42.35
"Sep 9, 2026",42.04,42.19,41.26,41.59,"29,329,700",41.59
"Sep 8, 2026",42.63,43.15,42.35,42.43,"23,857,400",42.43
"Sep 4, 2026",41.92,42.49,41.39,41.92,"23,959,900",41.92
"Sep 3, 2026",41.87,42.58,41.59,41.92,"42,338,500",41.92
"Sep 2, 2026",40.27,41.60,40.00,41.41,"44,023,900",41.41
"Sep 1, 2026",39.78,40.42,39.36,39.88,"27,032,600",39.88
"Aug 31, 2026",39.58,39.85,39.27,39.52,"25,694,900",39.50
"Aug 28, 2026",39.32,39.38,38.73,39.19,"20,889,700",39.17
"Aug 27, 2026",39.25,39.44,38.87,39.10,"24,225,700",39.08
"Aug 26, 2026",39.50,40.16,39.30,39.45,"20,036,200",39.43
"Aug 25, 2026",38.85,39.57,38.43,39.44,"18,255,700",39.42
"Aug 24, 2026",38.25,39.14,38.15,38.73,"18,970,400",38.71
"Aug 21, 2026",37.80,38.72,37.56,38.60,"29,492,600",38.58
"Aug 20, 2026",38.22,38.34,37.35,37.51,"27,458,900",37.49
"Aug 19, 2026",38.72,39.00,38.16,38.37,"35,577,300",38.35
"Aug 18, 2026",38.48,38.74,38.10,38.19,"14,745,300",38.17
"Aug 17, 2026",38.92,38.98,38.17,38.38,"21,823,400",38.36
"Aug 14, 2026",38.26,39.13,37.87,39.00,"39,681,400",38.98
"Aug 13, 2026",38.38,38.91,38.16,38.31,"24,129,000",38.29
"Aug 12, 2026",39.21,39.34,38.39,38.43,"49,492,600",38.41
"Aug 11, 2026",40.45,40.55,38.80,39.00,"44,710,200",38.98
"Aug 10, 2026",40.75,40.88,40.34,40.42,"19,652,700",40.40
"Aug 7, 2026",42.01,42.13,40.50,40.75,"25,577,700",40.73
"Aug 6, 2026",42.30,42.90,41.83,41.83,"22,055,300",41.81
"Aug 5, 2026",42.61,43.38,42.28,42.38,"30,166,400",42.36
"Aug 4, 2026",43.82,43.86,42.05,42.10,"26,508,600",42.08
"Aug 3, 2026",43.35,43.47,42.83,43.17,"17,043,500",43.15
"Jul 31, 2026",43.25,43.30,42.89,42.89,"10,285,400",42.85
"Jul 30, 2026",42.19,42.85,41.83,42.74,"12,531,700",42.70
"Jul 29, 2026",42.65,42.73,41.82,41.82,"20,532,400",41.78
"Jul 28, 2026",43.50,43.67,42.60,42.86,"19,096,400",42.82
"Jul 27, 2026",42.45,42.86,42.33,42.69,"14,920,100",42.65
"Jul 24, 2026",42.30,42.45,42.04,42.10,"10,443,700",42.06
"Jul 23, 2026",42.64,42.87,42.27,42.56,"22,570,600",42.52
"Jul 22, 2026",42.68,42.98,42.27,42.90,"21,986,300",42.86
"Jul 21, 2026",42.38,42.58,42.18,42.53,"9,834,900",42.49
"Jul 20, 2026",42.14,42.53,42.10,42.30,"12,612,200",42.26
"Jul 17, 2026",42.50,42.61,41.87,41.96,"19,576,400",41.92
"Jul 16, 2026",43.23,43.23,42.34,42.55,"18,156,600",42.51
"Jul 15, 2026",43.52,43.62,43.05,43.14,"18,975,900",43.10
"Jul 14, 2026",43.81,44.00,43.24,43.63,"15,398,000",43.59
"Jul 13, 2026",44.11,44.64,43.48,43.52,"17,749,900",43.48
"Jul 10, 2026",43.39,44.34,43.23,44.30,"28,815,100",44.26
"Jul 9, 2026",41.95,42.75,41.94,42.59,"18,657,300",42.55
"Jul 8, 2026",42.33,42.33,41.56,41.89,"18,564,500",41.85
"Jul 7, 2026",42.67,43.18,42.36,42.43,"21,184,500",42.39
"Jul 6, 2026",42.49,42.67,42.05,42.56,"19,170,500",42.52
"Jul 3, 2026",42.79,42.89,42.53,42.74,"9,878,400",42.70
"Jul 2, 2026",42.71,43.16,42.31,42.47,"15,005,100",42.43
"Jul 1, 2026",41.70,42.80,41.47,42.44,"26,405,300",42.40
"Jun 30, 2026",42.09,42.52,41.64,42.18,"40,172,400",42.12
"Jun 29, 2026",42.24,42.61,42.04,42.41,"21,151,300",42.35
"Jun 26, 2026",41.51,42.54,41.40,42.24,"23,047,700",42.18
"Jun 25, 2026",41.30,42.11,41.22,41.70,"20,778,400",41.65
"Jun 24, 2026",40.81,41.48,40.81,40.97,"22,041,600",40.92
"Jun 23, 2026",40.52,41.38,40.39,41.05,"21,074,900",41.00
"Jun 22, 2026",40.16,41.02,40.10,40.94,"25,404,800",40.89
"Jun 19, 2026",40.36,40.37,39.76,39.87,"48,413,400",39.82
