Date,Open,High,Low,Close,Volume,Adj Close
"Sep 18, 2026",48.40,48.83,48.25,48.50,"52,733,500",48.50
"Sep 16, 2026",49.94,49.98,48.62,48.65,"52,457,100",48.65
"Sep 15, 2026",49.06,50.70,49.03,50.43,"46,559,600",50.43
"Sep 14, 2026",49.51,49.73,48.61,48.92,"32,098,300",48.92
"Sep 11, 2026",48.50,49.12,48.09,49.00,"27,610,000",49.00
"Sep 10, 2026",48.91,49.60,48.54,49.12,"43,955,800",49.12
"Sep 9, 2026",48.74,48.95,48.19,48.42,"40,391,600",48.42
"Sep 8, 2026",48.10,48.50,47.53,48.09,"34,388,500",48.09
"Sep 4, 2026",47.32,47.45,46.72,47.11,"28,838,000",47.11
"Sep 3, 2026",48.46,49.19,47.45,47.56,"51,488,400",47.56
"Sep 2, 2026",46.82,48.25,46.56,48.20,"54,091,600",48.20
"Sep 1, 2026",45.50,46.94,45.50,46.87,"49,726,600",46.87
"Aug 31, 2026",44.62,45.34,44.33,45.02,"68,431,400",45.02
"Aug 28, 2026",42.72,43.60,42.62,43.55,"46,135,600",43.55
"Aug 27, 2026",41.45,42.89,41.00,42.70,"43,197,800",42.70
"Aug 26, 2026",41.14,42.27,40.97,41.45,"74,631,000",41.45
"Aug 25, 2026",41.18,41.91,41.01,41.35,"85,920,800",41.35
"Aug 24, 2026",42.60,42.64,41.62,42.11,"49,502,500",42.11
"Aug 21, 2026",44.34,44.62,44.16,44.30,"52,792,400",42.95
"Aug 20, 2026",43.75,44.63,43.47,44.32,"44,893,400",42.97
"Aug 19, 2026",42.84,43.97,42.84,43.11,"49,580,800",41.80
"Aug 18, 2026",42.80,43.20,42.42,42.60,"36,838,100",41.30
"Aug 17, 2026",42.35,42.76,41.72,42.47,"47,636,500",41.18
"Aug 14, 2026",41.63,42.46,41.63,42.09,"34,127,900",40.81
"Aug 13, 2026",41.15,41.96,41.07,41.90,"37,063,800",40.62
"Aug 12, 2026",41.50,41.97,41.15,41.45,"63,890,300",40.19
"Aug 11, 2026",42.40,42.50,41.01,41.66,"53,988,900",40.39
"Aug 10, 2026",41.32,42.47,41.06,42.23,"74,915,200",40.94
"Aug 7, 2026",42.90,42.96,40.83,40.87,"97,926,700",39.63
"Aug 6, 2026",42.02,42.47,41.92,42.13,"46,662,600",40.85
"Aug 5, 2026",42.53,42.99,41.75,41.93,"32,365,700",40.65
"Aug 4, 2026",43.09,43.09,41.77,42.50,"27,216,700",41.21
"Aug 3, 2026",42.40,43.09,42.35,43.05,"24,400,900",41.74
"Jul 31, 2026",43.00,43.55,42.86,43.42,"24,997,300",42.10
"Jul 30, 2026",42.00,42.84,41.82,42.84,"25,268,900",41.54
"Jul 29, 2026",42.16,42.40,41.75,42.00,"31,465,400",40.72
"Jul 28, 2026",41.02,41.77,40.89,41.21,"29,946,800",39.96
"Jul 27, 2026",41.20,41.48,40.82,41.01,"32,902,600",39.76
"Jul 24, 2026",42.37,42.91,42.15,42.21,"29,151,600",40.93
"Jul 23, 2026",43.40,43.49,42.86,42.95,"25,257,900",41.64
"Jul 22, 2026",42.10,42.74,41.97,42.58,"38,292,200",41.28
"Jul 21, 2026",41.21,41.70,41.13,41.66,"38,631,400",40.39
"Jul 20, 2026",41.20,41.44,40.47,41.15,"26,987,600",39.90
"Jul 17, 2026",40.41,41.11,40.41,40.90,"32,168,300",39.66
"Jul 16, 2026",40.38,40.86,39.89,39.89,"20,551,700",38.68
"Jul 15, 2026",40.41,40.80,40.23,40.59,"25,608,800",39.35
"Jul 14, 2026",41.20,41.31,40.11,40.66,"32,649,500",39.42
"Jul 13, 2026",40.51,40.92,40.24,40.66,"43,045,700",39.42
"Jul 10, 2026",39.64,39.97,39.34,39.65,"27,316,800",38.44
"Jul 9, 2026",39.74,39.98,38.89,39.21,"33,386,500",38.02
"Jul 8, 2026",39.65,39.75,39.00,39.65,"40,215,300",38.44
"Jul 7, 2026",38.00,38.77,37.92,38.44,"39,823,600",37.27
"Jul 6, 2026",37.95,38.02,37.61,37.77,"20,811,400",36.62
"Jul 3, 2026",38.07,38.25,37.86,38.25,"10,369,500",37.09
"Jul 2, 2026",37.89,38.46,37.65,37.96,"21,888,800",36.80
"Jul 1, 2026",37.50,37.84,37.40,37.83,"21,094,300",36.68
"Jun 30, 2026",38.17,38.18,37.74,37.80,"31,974,300",36.65
"Jun 29, 2026",38.20,38.37,37.92,38.14,"14,924,800",36.98
"Jun 26, 2026",38.07,38.25,37.93,38.06,"23,383,000",36.90
"Jun 25, 2026",38.12,38.67,37.92,38.45,"25,152,300",37.28
"Jun 24, 2026",38.90,38.98,38.13,38.29,"59,191,400",37.12
"Jun 23, 2026",38.96,39.57,38.84,39.33,"27,398,600",38.13
"Jun 22, 2026",38.75,39.21,38.48,39.17,"35,488,200",37.98
"Jun 19, 2026",38.86,39.11,38.62,38.80,"44,775,800",37.62
