Date,Open,High,Low,Close,Volume,Adj Close
"Sep 18, 2026",74.14,74.49,72.94,73.37,"30,622,900",73.37
"Sep 16, 2026",75.06,75.46,72.41,73.00,"51,929,300",73.00
"Sep 15, 2026",75.84,75.94,74.60,74.60,"18,100,600",74.60
"Sep 14, 2026",76.50,76.89,75.40,75.48,"18,635,500",75.48
"Sep 11, 2026",78.21,78.64,77.40,78.20,"12,231,700",78.20
"Sep 10, 2026",77.78,78.65,77.18,78.23,"20,768,000",78.23
"Sep 9, 2026",78.50,80.04,78.36,79.10,"19,118,100",79.10
"Sep 8, 2026",79.60,81.09,79.02,79.02,"17,890,200",79.02
"Sep 4, 2026",78.20,79.73,77.55,78.62,"13,868,300",78.62
"Sep 3, 2026",81.31,81.99,77.66,78.45,"32,356,700",78.45
"Sep 2, 2026",78.80,81.76,78.52,80.80,"32,989,800",80.80
"Sep 1, 2026",77.87,78.97,77.35,78.30,"15,755,000",78.30
"Aug 31, 2026",79.21,79.70,77.85,77.85,"28,004,000",77.85
"Aug 28, 2026",79.19,79.48,77.76,78.58,"13,040,900",78.58
"Aug 27, 2026",78.07,79.30,77.88,79.11,"11,544,100",79.11
"Aug 26, 2026",79.00,79.58,78.21,78.45,"13,673,700",78.45
"Aug 25, 2026",77.10,78.76,76.89,78.70,"18,033,600",78.70
"Aug 24, 2026",74.71,78.36,74.71,77.13,"28,776,400",77.13
"Aug 21, 2026",74.80,75.81,74.51,75.03,"28,372,500",75.03
"Aug 20, 2026",71.49,74.10,71.25,74.02,"24,999,800",74.02
"Aug 19, 2026",72.60,73.85,71.76,72.13,"18,624,200",72.13
"Aug 18, 2026",70.99,72.71,70.85,71.55,"12,466,800",71.55
"Aug 17, 2026",71.20,71.80,70.69,71.41,"10,007,400",71.41
"Aug 14, 2026",71.55,71.98,71.09,71.30,"22,933,800",71.30
"Aug 13, 2026",72.20,73.20,71.50,71.90,"19,535,200",71.90
"Aug 12, 2026",73.11,73.54,72.66,73.18,"24,930,300",73.18
"Aug 11, 2026",76.31,76.70,73.71,74.40,"36,211,800",72.37
"Aug 10, 2026",74.90,76.33,74.70,75.93,"15,094,700",73.86
"Aug 7, 2026",75.91,76.13,74.52,74.97,"13,038,800",72.92
"Aug 6, 2026",76.49,76.55,75.38,75.39,"21,991,700",73.33
"Aug 5, 2026",76.31,76.95,75.30,76.66,"15,107,500",74.57
"Aug 4, 2026",76.11,76.91,75.80,76.31,"19,784,000",74.23
"Aug 3, 2026",76.38,76.48,73.95,74.64,"23,582,200",72.60
"Jul 31, 2026",75.70,76.93,75.24,76.28,"17,353,300",74.20
"Jul 30, 2026",75.98,76.56,74.61,76.09,"16,732,800",74.01
"Jul 29, 2026",76.01,76.20,74.61,75.05,"12,265,200",73.00
"Jul 28, 2026",76.10,76.25,75.00,75.69,"12,270,800",73.62
"Jul 27, 2026",74.36,75.72,74.24,75.69,"10,921,700",73.62
"Jul 24, 2026",75.16,75.53,74.84,75.24,"8,637,800",73.19
"Jul 23, 2026",74.54,77.07,74.51,75.68,"15,826,900",73.61
"Jul 22, 2026",73.61,75.25,73.34,75.10,"17,992,800",73.05
"Jul 21, 2026",72.34,72.97,71.57,72.37,"12,581,400",70.39
"Jul 20, 2026",73.00,73.25,71.71,71.93,"13,137,000",69.97
"Jul 17, 2026",72.98,73.12,72.10,72.94,"13,491,600",70.95
"Jul 16, 2026",73.85,74.08,72.54,72.98,"12,989,700",70.99
"Jul 15, 2026",73.99,75.00,73.80,74.51,"15,456,000",72.48
"Jul 14, 2026",73.42,74.69,73.18,74.01,"14,780,100",71.99
"Jul 13, 2026",74.18,74.18,72.45,72.85,"16,237,900",70.86
"Jul 10, 2026",74.00,74.66,73.12,74.18,"22,142,400",72.16
"Jul 9, 2026",73.41,73.49,71.93,73.15,"18,980,500",71.15
"Jul 8, 2026",75.22,75.22,72.35,72.70,"29,276,700",70.72
"Jul 7, 2026",77.60,77.60,75.79,76.20,"16,866,100",74.12
"Jul 6, 2026",78.29,78.78,77.50,77.79,"12,389,100",75.67
"Jul 3, 2026",78.43,79.04,78.01,78.84,"7,793,500",76.69
"Jul 2, 2026",78.60,79.32,77.72,78.24,"17,199,300",76.10
"Jul 1, 2026",77.09,78.92,77.04,77.97,"15,414,700",75.84
"Jun 30, 2026",78.10,78.29,77.25,77.88,"11,289,500",75.75
"Jun 29, 2026",78.35,78.56,77.15,78.13,"11,791,900",76.00
"Jun 26, 2026",78.18,78.88,77.91,78.15,"25,251,100",76.02
"Jun 25, 2026",78.20,79.22,77.42,78.66,"13,882,800",76.51
"Jun 24, 2026",78.56,78.86,77.16,77.73,"22,558,900",75.61
"Jun 23, 2026",79.47,79.98,78.82,79.38,"18,415,100",77.21
"Jun 22, 2026",80.55,81.58,80.11,80.91,"18,089,300",78.70
"Jun 19, 2026",79.68,81.07,79.50,80.75,"26,305,900",78.55
